gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000105696,318.1193038,-2.102404654,0.175395391,2.36E-34,6.39E-32,TMEM59L
ENSG00000154734,4260.763037,0.951708212,0.079146577,2.53E-34,6.73E-32,ADAMTS1
ENSG00000113083,309.8205899,-1.978390862,0.165680981,4.32E-34,1.13E-31,LOX
ENSG00000149557,573.9291049,-1.549151982,0.129866704,5.42E-34,1.40E-31,FEZ1
ENSG00000134324,1300.006958,1.269986336,0.106431388,5.93E-34,1.52E-31,LPIN1
ENSG00000102996,488.1057252,-1.506942305,0.126485284,6.60E-34,1.66E-31,MMP15
ENSG00000142173,5815.372954,-0.824878866,0.069119105,7.33E-34,1.82E-31,COL6A2
ENSG00000091129,162.4787203,-2.805970554,0.235911805,8.05E-34,1.97E-31,NRCAM
ENSG00000225855,319.1607388,1.807385944,0.154207914,6.46E-33,1.56E-30,RUSC1-AS1
ENSG00000278540,3380.453006,0.844283073,0.072089534,1.27E-32,3.03E-30,ACACA
ENSG00000069869,6338.048173,1.043221228,0.089282815,1.34E-32,3.17E-30,NEDD4
ENSG00000116016,2699.903234,-1.373452528,0.117934891,1.62E-32,3.77E-30,EPAS1
ENSG00000110090,2438.631393,-0.937191586,0.081336035,9.57E-32,2.20E-29,CPT1A
ENSG00000101333,1939.065077,1.238572117,0.107717262,1.05E-31,2.38E-29,PLCB4
ENSG00000174938,769.862491,-1.224617577,0.106652573,1.20E-31,2.70E-29,SEZ6L2
ENSG00000133935,1693.592918,0.954887645,0.083161294,1.54E-31,3.42E-29,ERG28
ENSG00000071054,7094.055541,-0.736146179,0.064593096,3.29E-31,7.21E-29,MAP4K4
ENSG00000162591,241.6365304,-2.448359239,0.215557949,3.77E-31,8.15E-29,MEGF6
ENSG00000163545,4061.084763,0.850501072,0.074689873,5.19E-31,1.11E-28,NUAK2
ENSG00000105835,2286.441075,-0.911238711,0.080186317,6.14E-31,1.30E-28,NAMPT
ENSG00000197249,355.2507052,-1.784201831,0.157657964,6.56E-31,1.37E-28,SERPINA1
ENSG00000180530,917.2880231,-1.357887893,0.120271981,1.01E-30,2.10E-28,NRIP1
ENSG00000111684,2121.451309,0.939126282,0.08301229,1.10E-30,2.25E-28,LPCAT3
ENSG00000184470,2311.952416,0.980711889,0.087041104,1.69E-30,3.41E-28,TXNRD2
ENSG00000186591,2405.599785,-0.872397138,0.077391291,1.83E-30,3.66E-28,UBE2H
ENSG00000267519,465.6568833,1.646152363,0.14809018,6.43E-30,1.27E-27,MIR23AHG
ENSG00000137285,325.415756,-1.708542719,0.15382997,7.31E-30,1.43E-27,TUBB2B
ENSG00000123095,293.8432563,-2.0031449,0.181123704,1.16E-29,2.25E-27,BHLHE41
ENSG00000143320,369.0478536,-1.695849981,0.154753789,3.79E-29,7.26E-27,CRABP2
ENSG00000130766,685.0277149,-1.444837029,0.131951669,4.35E-29,8.24E-27,SESN2
ENSG00000067082,10304.15728,0.879083636,0.080086955,5.19E-29,9.74E-27,KLF6
ENSG00000139112,1710.841323,-1.099403713,0.10054912,6.28E-29,1.17E-26,GABARAPL1
ENSG00000058085,31808.29901,-0.922411971,0.084847401,1.49E-28,2.74E-26,LAMC2
ENSG00000198142,1378.104199,1.016447432,0.093984036,2.60E-28,4.74E-26,SOWAHC
ENSG00000108947,439.8277248,-1.380187454,0.128225786,3.49E-28,6.30E-26,EFNB3
ENSG00000118503,2221.358354,-0.979624765,0.090930284,4.10E-28,7.33E-26,TNFAIP3
ENSG00000106976,1002.35626,-1.28086857,0.119162226,4.31E-28,7.62E-26,DNM1
ENSG00000119669,4973.914547,1.084241479,0.101233507,7.59E-28,1.33E-25,IRF2BPL
ENSG00000185650,18645.83227,0.947859815,0.089127598,1.90E-27,3.29E-25,ZFP36L1
ENSG00000074181,620.1998967,-1.306771389,0.124123916,4.56E-27,7.84E-25,NOTCH3
ENSG00000121753,868.284538,-1.112478949,0.105571116,4.63E-27,7.88E-25,ADGRB2
ENSG00000197747,9204.559679,0.686149757,0.064781192,4.74E-27,7.99E-25,S100A10
ENSG00000155368,4369.642155,0.855862946,0.081669797,1.13E-26,1.88E-24,DBI
ENSG00000165072,3274.247141,-0.997044603,0.095297512,1.13E-26,1.88E-24,MAMDC2
ENSG00000104833,721.2589337,-1.177546509,0.112783702,1.22E-26,2.01E-24,TUBB4A
ENSG00000006016,177.9066064,-2.021542908,0.194652833,1.79E-26,2.92E-24,CRLF1
ENSG00000131459,401.5485346,-1.623229676,0.15690264,2.68E-26,4.33E-24,GFPT2
ENSG00000232656,98.24493186,3.106447498,0.302495981,7.44E-26,1.19E-23,IDI2-AS1
ENSG00000138413,2687.622719,0.879245311,0.085666798,1.07E-25,1.69E-23,IDH1
ENSG00000132535,716.763237,-1.282126793,0.125526747,1.22E-25,1.92E-23,DLG4
ENSG00000161547,8973.089898,0.692335769,0.06773772,1.79E-25,2.79E-23,SRSF2
ENSG00000139926,7978.519253,0.730331895,0.071423474,2.01E-25,3.11E-23,FRMD6
ENSG00000137965,73.4300157,-4.399381359,0.430030018,2.11E-25,3.23E-23,IFI44
ENSG00000166897,2449.319164,0.97397664,0.095675104,2.26E-25,3.44E-23,ELFN2
ENSG00000111674,3096.350061,-0.714777752,0.070037836,2.47E-25,3.72E-23,ENO2
ENSG00000271503,77.09382202,-3.66150259,0.360829974,3.33E-25,4.98E-23,CCL5
ENSG00000151651,541.4142892,-1.253103289,0.124156516,4.28E-25,6.34E-23,ADAM8
ENSG00000173918,112.0216304,-2.73876941,0.272018311,4.72E-25,6.95E-23,C1QTNF1
ENSG00000143514,2559.48381,-0.79532202,0.078578496,5.33E-25,7.78E-23,TP53BP2
ENSG00000157193,1130.202462,0.917958441,0.091077802,6.71E-25,9.72E-23,LRP8
ENSG00000158458,288.6301327,-1.603474368,0.159802224,7.05E-25,1.01E-22,NRG2
ENSG00000091592,156.6820453,-2.564766226,0.256552443,8.78E-25,1.25E-22,NLRP1
ENSG00000147155,1932.162874,0.864969276,0.086037938,9.21E-25,1.30E-22,EBP
ENSG00000172216,370.4344965,-2.126541502,0.212901808,9.47E-25,1.33E-22,CEBPB
ENSG00000204767,653.4596726,1.410089702,0.14273897,3.63E-24,5.05E-22,INSYN2B
ENSG00000198910,4277.988495,-0.789304146,0.079658545,4.37E-24,6.05E-22,L1CAM
ENSG00000179431,2276.932696,1.030157388,0.10465224,6.75E-24,9.26E-22,FJX1
ENSG00000173432,183.3631522,-2.642175018,0.270126111,7.53E-24,1.03E-21,SAA1
ENSG00000109929,1896.764819,0.925342385,0.094324004,9.88E-24,1.32E-21,SC5D
ENSG00000163629,2219.695491,1.040691509,0.106208372,9.82E-24,1.32E-21,PTPN13
ENSG00000166710,13175.18111,-0.590037691,0.059770498,9.86E-24,1.32E-21,B2M
ENSG00000105971,4025.951072,0.724620951,0.073766026,1.18E-23,1.56E-21,CAV2
ENSG00000132196,505.3095301,1.267553538,0.129830937,1.18E-23,1.56E-21,HSD17B7
ENSG00000110042,238.4630925,-1.741386774,0.179190737,1.53E-23,1.99E-21,DTX4
ENSG00000185585,358.2029079,-1.64510927,0.169236064,1.53E-23,1.99E-21,OLFML2A
ENSG00000011021,1020.515967,1.031575807,0.105848943,1.69E-23,2.17E-21,CLCN6
ENSG00000213625,2410.404418,0.759942699,0.077820195,1.97E-23,2.51E-21,LEPROT
ENSG00000048052,633.7778958,-1.142762947,0.117702203,2.12E-23,2.69E-21,HDAC9
ENSG00000076706,4691.094734,-0.883313306,0.090928531,2.56E-23,3.23E-21,MCAM
ENSG00000110492,5343.469461,-0.776986799,0.080088675,2.87E-23,3.59E-21,MDK
ENSG00000119922,294.3957291,-1.676733847,0.174310502,3.99E-23,4.95E-21,IFIT2
ENSG00000109084,1051.362411,0.934455213,0.096899621,5.00E-23,6.17E-21,TMEM97
ENSG00000132688,165.0288396,-2.577330111,0.269371838,5.81E-23,7.11E-21,NES
ENSG00000135919,3316.262693,-1.261063449,0.131437987,5.84E-23,7.11E-21,SERPINE2
ENSG00000167107,217.4938436,-1.664585467,0.174007047,6.98E-23,8.45E-21,ACSF2
ENSG00000197183,257.7586905,-2.056148278,0.215312822,7.21E-23,8.67E-21,NOL4L
ENSG00000164949,157.4890103,-2.159444565,0.226600764,9.19E-23,1.10E-20,GEM
ENSG00000139289,3886.609021,-0.892360623,0.093185965,9.99E-23,1.19E-20,PHLDA1
ENSG00000150630,342.9039652,-1.429976918,0.150094617,1.07E-22,1.26E-20,VEGFC
ENSG00000008517,1386.714998,-1.346843692,0.141407949,1.10E-22,1.29E-20,IL32
ENSG00000128591,475.4815196,-1.867292535,0.196475378,1.15E-22,1.34E-20,FLNC
ENSG00000128342,6775.010975,0.803164204,0.084011701,1.36E-22,1.57E-20,LIF
ENSG00000154310,181.1479853,-1.770926637,0.187557175,2.28E-22,2.62E-20,TNIK
ENSG00000151474,1445.203275,0.979545285,0.103575216,2.97E-22,3.39E-20,FRMD4A
ENSG00000147100,1185.925526,-1.277182208,0.135521812,3.02E-22,3.43E-20,SLC16A2
ENSG00000100167,318.2888447,-1.55629807,0.165828173,4.01E-22,4.52E-20,SEPTIN3
